PG4	1473	HETAIN	194.226	C8 H18 O5	precipitant	PEG
PGE	1438	HETAIN	150.173	C6 H14 O4	precipitant	PEG
NH2	1404	HETAIN	16.023	H2 N	group	
FMT	1397	HETAIN	46.025	C H2 O2	salt	
SF4	1228	HETAIN	351.64	Fe4 S4	ion complex	
EPE	1092	HETAIN	238.305	C8 H18 N2 O4 S	buffer	HEPES
CIT	1089	HETAIN	192.124	C6 H8 O7	salt	
BME	939	HETAIN	78.133	C2 H6 O S	reducing agent	
ACY	875	HETAIN	60.052	C2 H4 O2	salt	
IMD	814	HETAIN	69.085	C3 H5 N2	buffer	Imidazole
1PE	779	HETAIN	238.278	C10 H22 O6	precipitant	PEG
MLI	767	HETAIN	102.046	C3 H2 O4	salt	
FES	734	HETAIN	175.82	Fe2 S2	ion complex	
UNX	710	HETAIN	None	X	unkown	
IPA	654	HETAIN	60.095	C3 H8 O	precipitant	
MRD	486	HETAIN	118.174	C6 H14 O2	precipitant	
TLA	463	HETAIN	150.087	C4 H6 O6	salt	
UNL	430	HETAIN	None		unkown	
P6G	395	HETAIN	282.331	C12 H26 O7	precipitant	PEG
POP	291	HETAIN	175.959	H2 O7 P2	salt	
F3S	271	HETAIN	295.795	Fe3 S4	ion complex	
BTB	254	HETAIN	209.24	C8 H19 N O5	buffer	BIS-TRIS
EOH	244	HETAIN	46.068	C2 H6 O	solvent	
DTT	239	HETAIN	154.251	C4 H10 O2 S2	reducing agent	DTT
NHE	224	HETAIN	207.29	C8 H17 N O3 S	buffer	CHES
PYR	217	HETAIN	88.062	C3 H4 O3	salt	
BEF	204	HETAIN	66.007	Be F3	salt	
DIO	182	HETAIN	88.105	C4 H8 O2	solvent	
MLA	167	HETAIN	104.061	C3 H4 O4	salt	
PGO	146	HETAIN	76.094	C3 H8 O2	solvent	
2PE	138	HETAIN	414.488	C18 H38 O10	precipitant	PEG
XE	137	HETAIN	131.293	Xe	ion	wrong type
B3P	135	HETAIN	282.334	C11 H26 N2 O6	buffer	BIS-TRIS propane
PE4	135	HETAIN	354.436	C16 H34 O8	precipitant	PEG
TAR	135	HETAIN	150.087	C4 H6 O6	salt	
PPV	116	HETAIN	177.975	H4 O7 P2	salt	
TAM	113	HETAIN	163.215	C7 H17 N O3	reducing agent	TCEP
PG0	112	HETAIN	120.147	C5 H12 O3	precipitant	PEG
O	109	HETAIN	15.999	O	ion	wrong type
CUA	107	HETAIN	127.092	Cu2	ion	wrong type
0QE	103	HETAIN	50.488	C H3 Cl	group	
P33	100	HETAIN	326.383	C14 H30 O8	precipitant	PEG
AU	91	HETAIN	196.967	Au	ion	
AF3	69	HETAIN	83.977	Al F3	ion complex	
AG	45	HETAIN	107.868	Ag	ion	wrong type
ARS	44	HETAIN	74.922	As	ion	
BO3	32	HETAIN	61.833	B H3 O3	salt	
ICS	31	HETAIN	787.451	C Fe7 Mo S9	ion complex	
CF0	29	HETAIN	34.033	C H3 F	group	
TBR	20	HETAIN	2044.54	Br12 Ta6	ion complex	
AU3	9	HETAIN	196.967	Au	ion	
TAS	7	HETAIN	125.944	As H3 O3	salt	
BO4	7	HETAIN	78.84	B H4 O4	salt	
2T8	6	HETAIN	378.038	C Cl4 Ir O2	ion complex	
AST	4	HETAIN	122.92	As O3	salt	
ART	4	HETAIN	138.919	As O4	salt	
BF2	3	HETAIN	47.009	Be F2	ion complex	
6BP	3	HETAIN	674.502	Br6 Pt	ion complex	
D6N	3	HETAIN	692.329	C Fe7 N S7 V	ion complex	
BF4	2	HETAIN	85.006	Be F4	ion complex	
ICE	2	HETAIN	755.386	C Fe7 Mo S8	ion complex	
8AR	2	HETAIN	139.927	As H O4	salt	
0KA	1	HETAIN	403.663	Ag Fe3 S4	ion complex	
RMO	1	HETAIN	251.933	As H Mo O3 S	ion complex	
HG2	1	HETAIN	360.398	Br2 Hg	ion complex	
82N	1	HETAIN	380.506	C Fe3 N Ni S4	ion complex	
ICH	1	HETAIN	928.136	C Fe7 Mo S6 Se3	ion complex	
ICZ	1	HETAIN	723.321	C Fe7 Mo S7	ion complex	
ICG	1	HETAIN	834.346	C Fe7 Mo S8 Se	ion complex	
8P8	1	HETAIN	710.387	C Fe7 S8 V	ion complex	
NOB	1	HETAIN	111.584	B2 H3 Li O5	salt	
202	1	HETAIN	128.91	Br H O3	salt	
HOH	138933	HETAS	18.015	H2 O	solvent	
DOD	168	HETAS	20.028	D2 O	solvent	
1PG	79	HETAIN	252.305	C11 H24 O6	precipitant	PEG
15P	79	HETAIN	1529.83	C69 H140 O35	precipitant	PEG
12P	73	HETAIN	546.646	C24 H50 O13	precipitant	PEG
PG6	72	HETAIN	266.331	C12 H26 O6	precipitant	PEG
PE5	58	HETAIN	398.489	C18 H38 O9	precipitant	PEG
PE8	57	HETAIN	370.436	C16 H34 O9	precipitant	PEG
7PE	51	HETAIN	310.384	C14 H30 O7	precipitant	PEG
PE3	48	HETAIN	634.751	C28 H58 O15	precipitant	PEG
PG5	37	HETAIN	178.226	C8 H18 O4	precipitant	PEG
ETE	29	HETAIN	208.252	C9 H20 O5	precipitant	PEG
XPE	23	HETAIN	458.541	C20 H42 O11	precipitant	PEG
PEU	18	HETAIN	1221.46	C55 H112 O28	precipitant	PEG
P15	16	HETAIN	296.357	C13 H28 O7	precipitant	PEG
7PG	8	HETAIN	384.462	C17 H36 O9	precipitant	PEG
P4K	5	HETAIN	662.804	C30 H62 O15	precipitant	PEG
33O	4	HETAIN	590.699	C26 H54 O14	precipitant	PEG
9FO	2	HETAIN	899.066	C40 H82 O21	precipitant	PEG
